country,iso3,region,thesis_core,summary_pt,summary_en,score,classification,trend,regulatory_model,stablecoin_maturity,tokenization_maturity,cbdc_posture,authorities,principal_laws,opportunities_pt,risks_pt,detailed_analysis_pt,references
Brazil,BRA,Latin America,True,"O Brasil possui um arcabouço em desenvolvimento, porém cada vez mais estruturado, para prestadores de serviços de ativos virtuais, com avanço na supervisão prudencial, mas ainda com fricções em tributação e tokenização.","Brazil has a developing but increasingly structured framework for virtual asset service providers, with progress in prudential oversight but remaining friction in taxation and tokenization.",69,favorable,improving,favorable,partially open,developing,pilot under debate,Banco Central do Brasil (BCB) | Receita Federal do Brasil (RFB) | Comissão de Valores Mobiliários (CVM) | Conselho Monetário Nacional (CMN),Law 14.478/2022 | Decree 11.563/2023 | BCB Resolution 520/2025,Tokenização | Infraestrutura digital verde | Desenvolvimento de stablecoins,Incerteza tributária | Fragmentação institucional,"O Brasil saiu de um marco legal geral para um modelo supervisório mais operacional. O núcleo jurídico permanece na Lei 14.478/2022 e no Decreto 11.563/2023, mas a mudança decisiva veio com as regras do Banco Central que entraram em vigor em 2026 para autorização, governança, controles e proteção dos ativos dos clientes. O mercado continua aberto à inovação privada, porém mais formalizado em stablecoins, custódia e usos transfronteiriços. O desafio institucional central é não trocar a insegurança jurídica por concentração operacional excessiva no regulador.",https://www.planalto.gov.br/
European Union,EUU,Europe,True,"A União Europeia opera o regime harmonizado de criptoativos mais abrangente entre as grandes jurisdições, centrado no MiCA e em medidas correlatas de implementação.","The EU operates the most comprehensive harmonized crypto-asset regime among major jurisdictions, centered on MiCA and related implementation measures.",80,very_favorable,improving,very_favorable,regulated under mica,active,euro area exploration,European Commission | ESMA | EBA | National competent authorities,MiCA | DAC8 | DORA,Passaporte regulatório | Segurança jurídica | Regime de stablecoins,Elevada carga de conformidade | Sobreposição interpretativa,"A União Europeia oferece o framework harmonizado de maior escala e maior clareza para criptoativos. O MiCA reduz a fragmentação regulatória ao criar categorias e obrigações comuns para emissores e CASPs, enquanto a DAC8 amplia a transparência tributária. O modelo privilegia segurança jurídica e proteção do investidor, mas também eleva custos de conformidade e mantém dúvidas sobre DeFi, certos NFTs e sobreposições com a regulação financeira preexistente.",https://www.esma.europa.eu/esmas-activities/digital-finance-and-innovation/markets-crypto-assets-regulation-mica
United States,USA,North America,True,"Os Estados Unidos combinam supervisão federal fragmentada com grande profundidade de mercado. A política para stablecoins ficou mais estruturada, mas a incerteza em matéria de valores mobiliários ainda afeta parte dos projetos.","The United States combines fragmented federal oversight with strong market depth. Stablecoin policy became more structured, but securities-law uncertainty still affects some projects.",78,favorable,improving,favorable,developing framework,active,research only,Congress | Office of the Comptroller of the Currency (OCC) | SEC | CFTC | Federal Reserve | Treasury/FinCEN,GENIUS Act (2025) | State-level digital asset laws | Federal agency guidance,Stablecoins | Mercados de capitais tokenizados | Mineração e computação,Fragmentação regulatória | Incerteza de enforcement,"Os Estados Unidos combinam profundidade de mercado e capacidade de inovação com fragmentação institucional. O GENIUS Act criou o primeiro framework federal para payment stablecoins, enquanto o relatório da Casa Branca de 2025 defendeu a superação da regulação por enforcement. Ainda assim, permanecem incertezas sobre a fronteira entre securities e commodities, a supervisão de exchanges e o tratamento de muitos tokens. O resultado é um ecossistema forte, porém irregular.",https://www.whitehouse.gov/
Germany,DEU,Europe,False,"A Alemanha oferece um dos ambientes de Estado de Direito mais fortes para cripto na Europa, mas com alta intensidade de compliance.","Germany offers one of the strongest rule-of-law environments for crypto in Europe, but with high compliance intensity.",70,favorable,stable,,,,,BaFin | Deutsche Bundesbank | ESMA / EBA (EU layer),MiCA | German banking supervision rules,Tokenização regulada | Adoção institucional,Alto custo de compliance,A Alemanha combina o framework harmonizado da União Europeia com uma cultura supervisória doméstica historicamente rigorosa. A jurisdição se destaca pela experiência prévia com custódia cripto e por uma trajetória relativamente institucionalizada de autorização de CASPs. Sua principal vantagem comparativa é a seriedade jurídica e a credibilidade supervisória; sua principal desvantagem é uma carga regulatória que tende a favorecer operadores maiores e mais capitalizados.,https://www.bafin.de/
France,FRA,Europe,False,"A França se beneficia tanto da supervisão doméstica legada quanto da harmonização do MiCA, produzindo um ambiente europeu relativamente maduro.","France benefits from both legacy domestic crypto supervision and MiCA harmonisation, producing a relatively mature EU environment.",69,favorable,stable,,,,,AMF | ACPR | ESMA / EBA (EU layer),MiCA | PSAN regime,Entrada de mercado institucional,Custo regulatório,A França é analiticamente importante porque antecipou partes do framework europeu por meio de seu regime nacional anterior para prestadores de serviços de ativos digitais. Isso coloca o país em posição de ponte entre a experimentação pré-MiCA e a harmonização plena da UE. Sua força comparativa é a continuidade institucional; sua fraqueza está na convivência entre regras transitórias e exigências densas de compliance.,https://www.amf-france.org/
Switzerland,CHE,Europe,True,"A Suíça continua sendo uma das jurisdições mais fortes para tokenização, infraestrutura de negociação em DLT e segurança jurídica para negócios cripto.","Switzerland remains one of the strongest jurisdictions for tokenization, DLT trading infrastructure and legal certainty for crypto businesses.",85,very_favorable,stable,very_favorable,open with compliance,highly favorable,wholesale focus,FINMA | State Secretariat for International Finance (SIF),Swiss DLT Act | FINMA guidance,Mercados DLT | Custódia | Valores mobiliários tokenizados,Custo operacional,"A Suíça permanece como referência em segurança jurídica para tokenização e infraestrutura de mercado em DLT. O framework DLT e as orientações posteriores da FINMA reforçam custódia, proteção em insolvência e segregação operacional. A jurisdição é especialmente atraente para valores mobiliários tokenizados, infraestrutura de mercado e serviços cripto de padrão institucional.",https://www.sif.admin.ch/
Singapore,SGP,Asia,True,"Singapura combina licenciamento rigoroso com forte apoio de política pública para tokenização, stablecoins e mercados institucionais de ativos digitais.","Singapore combines strict licensing with strong policy support for tokenization, stablecoins and institutional digital asset markets.",83,very_favorable,improving,very_favorable,regulated,very active,wholesale experimentation,Monetary Authority of Singapore (MAS),Payment Services Act | MAS Stablecoin Framework | Project Guardian,Tokenização institucional | Stablecoins,Limiares de licenciamento rigorosos,"Singapura continua sendo uma das jurisdições mais coerentes para ativos digitais. A MAS usa licenciamento e supervisão baseada em risco enquanto promove ativamente tokenização institucional e inovação em pagamentos. Seu framework de stablecoins enfatiza qualidade das reservas, segregação, disclosure e confiabilidade de resgate, conferindo alta credibilidade ao dinheiro digital privado regulado.",https://www.mas.gov.sg/
Hong Kong,HKG,Asia,True,"Hong Kong avançou para um quadro mais explícito de incentivo à inovação com supervisão, especialmente para exchanges e stablecoins lastreadas em moeda fiduciária.","Hong Kong has moved toward a more explicit pro-innovation but supervised framework, especially for exchanges and fiat-backed stablecoins.",80,very_favorable,improving,very_favorable,licensed framework,active,research,Hong Kong Monetary Authority (HKMA) | Securities and Futures Commission (SFC),VASP licensing | Stablecoins Ordinance,Licenciamento de exchanges | Acesso a capital asiático,Mudanças de política,"Hong Kong se posiciona como porta de entrada asiática regulada para ativos digitais. Seu framework combina licenciamento de VASPs com o regime de emissores de stablecoins sob o HKMA. O modelo é claro e cada vez mais sofisticado, especialmente para stablecoins referenciadas em moeda fiduciária, embora os reguladores mantenham postura cautelosa e o licenciamento avance gradualmente.",https://www.hkma.gov.hk/
United Kingdom,GBR,Europe,True,"O Reino Unido caminha para um regime específico para stablecoins, valores mobiliários digitais e atividades cripto em geral, mas a implementação segue gradual.","The UK is moving toward a tailored regime for stablecoins, digital securities and broader crypto activities, but implementation remains gradual.",74,favorable,improving,favorable,developing framework,sandboxing,consultation stage,FCA | Bank of England | HM Treasury,FCA crypto regime | Digital Securities Sandbox,Valores mobiliários tokenizados | Experimentação regulatória,Implementação lenta,"O Reino Unido busca um regime próprio, e não um transplante integral do MiCA. Combina regras já vigentes de promoções financeiras com um roadmap prospectivo para emissão de stablecoins, custódia, prudencial e plataformas de negociação. Isso favorece flexibilidade de política e experimentação, mas a implementação segue gradual e as empresas ainda enfrentam ambiente de transição.",https://www.bankofengland.co.uk/
United Arab Emirates,ARE,Middle East,True,"Os Emirados Árabes Unidos oferecem um dos ambientes regulados mais favoráveis a negócios para exchanges, tokenização e serviços com ativos digitais, especialmente em Dubai e ADGM.","The UAE offers one of the most business-friendly regulated environments for exchanges, tokenization and digital asset services, especially in Dubai and ADGM.",86,very_favorable,improving,very_favorable,open with rules,very active,wholesale and cross-border exploration,Virtual Assets Regulatory Authority (VARA) | Abu Dhabi Global Market (ADGM) | Central Bank of the UAE,VARA regime | ADGM virtual assets framework,Hub regional | Ambiente de baixa tributação,Complexidade jurisdicional entre zonas,"Os Emirados Árabes Unidos construíram um dos ambientes mais atraentes comercialmente para negócios com ativos digitais, especialmente por meio de Dubai e do ADGM. O framework é especializado, orientado a licenciamento e aberto a exchanges, custódia, corretagem e tokenização. O principal desafio não é hostilidade regulatória, mas a navegação entre zonas paralelas e sua interação.",https://www.vara.ae/
